CLUSTER_ID,TRAJECTORY_ID,EASTINGS_M,NORTHINGS_M,ALTITUDE_M
1,1,862247.982,4576839.058,38275
1,1,877827.2041,4574981.458,36600
1,1,889167.307,4573600.724,35350
1,1,910517.7219,4570964.524,32750
1,1,924635.5852,4568883.15,30850
1,1,927443.8123,4568043.47,30450
1,1,940791.5097,4562118.962,28400
1,1,953293.2754,4556261.307,26400
1,1,965555.2362,4550807.334,24625
1,1,978273.4758,4547298.028,23850
1,1,991216.8481,4544069.91,23150
1,1,999066.0296,4542133.017,22600
1,1,1015402.509,4538105.089,21475
1,1,1026877.788,4535230.678,20800
1,1,1037201.266,4532321.508,20075
1,1,1038145.733,4531797.888,20000
1,1,1039095.091,4531213.3,19925
1,1,1040103.138,4530552.417,19850
1,1,1041021.308,4529936.845,19800
1,1,1050110.403,4522728.663,19000
1,1,1058341.3,4515703.054,17725
1,1,1062848.286,4511992.073,16725
1,1,1067154.592,4508286.09,15425
1,1,1069513.275,4506537.323,14775
1,1,1070895.02,4506042.022,14450
1,1,1072405.927,4505922.972,14200
1,1,1073300.846,4506023.809,14050
1,1,1074255.095,4506222.041,13850
1,1,1075148.731,4506439.818,13650
1,1,1076021.601,4506664.369,13450
1,1,1080804.471,4507887.407,12175
1,1,1085436.771,4509043.479,10750
1,1,1087022.241,4509450.158,10175
1,1,1088735.03,4509877.272,9450
1,1,1090478.286,4510317.379,8825
1,1,1092145.776,4510726.169,8300
1,1,1093794.906,4511137.957,7750
1,1,1095840.424,4511651.471,7050
1,1,1097440.566,4512037.828,6500
1,1,1098952.676,4512576.662,5950
1,1,1099613.322,4513008.773,5700
1,1,1100420.77,4513898.426,5325
1,1,1100802.405,4514620.277,5075
1,1,1101086.226,4515723.488,4725
1,1,1101096.008,4516536.847,4450
1,1,1100954.097,4517279.021,4175
1,1,1100672.761,4517973.775,3875
1,1,1100292.89,4518542.371,3625
1,1,1099766.858,4519043.891,3375
1,1,1098849.891,4519551.408,3100
1,1,1097915.285,4519912.334,2925
1,1,1097347.563,4520120.782,2875
1,1,1096437.41,4520405.524,2825
1,1,1095853.252,4520455.499,2800
1,1,1095336.36,4520385.091,2825
1,1,1094773.608,4520242.83,2825
1,1,1094267.14,4520098.793,2800
1,1,1093551.413,4519808.942,2775
1,1,1093109.807,4519551.408,2800
1,1,1092742.763,4519317.528,2800
1,1,1092274.859,4519018.016,2800
1,1,1091889.455,4518769.81,2775
1,1,1091289.422,4518377.123,2800
1,1,1090879.003,4518103.042,2775
1,1,1090119.902,4517589.084,2775
1,1,1089422.535,4517105.333,2800
1,1,1088935.629,4516694.433,2800
1,1,1088661.59,4516345.39,2800
1,1,1088431.566,4515978.024,2800
1,1,1087898.239,4515026.957,2800
1,1,1087680.482,4514623.72,2775
1,1,1087286.5,4513837.347,2800
1,1,1087076.119,4513420.561,2800
1,1,1086875.44,4513023.987,2800
1,1,1086674.841,4512632.522,2750
1,1,1086474.161,4512246.165,2675
1,1,1086279.094,4511857.698,2575
1,1,1086089.399,4511480.337,2500
1,1,1085891.847,4511092.203,2400
1,1,1085705.92,4510731.277,2325
1,1,1085508.367,4510348.363,2250
1,1,1085313.22,4509975.999,2175
1,1,1084922.926,4509211.281,2000
1,1,1084741.89,4508865.57,1925
1,1,1084546.181,4508479.213,1850
1,1,1084357.769,4508099.186,1775
1,1,1084177.294,4507727.267,1725
1,1,1083832.299,4507034.623,1575
1,1,1083646.933,4506683.026,1475
1,1,1083464.694,4506323.766,1400
1,1,1083316.61,4506005.596,1350
1,1,1083136.776,4505591.698,1275
1,1,1082989.975,4505215.558,1200
1,1,1082826.096,4504832.089,1125
1,1,1082490.882,4504113.681,975
1,1,1082295.735,4503731.1,900
1,1,1082125.683,4503400.27,825
1,1,1081935.426,4503032.903,750
1,1,1081745.25,4502676.198,650
1,1,1081369.628,4501998.879,500
1,1,1081169.59,4501642.174,425
1,1,1080969.552,4501280.36,350
1,1,1080782.984,4500950.307,275
1,1,1080582.385,4500584.384,200
1,1,1080396.458,4500248.779,125
1,1,1080009.851,4499562.466,0
1,1,1079809.172,4499206.648,0
1,1,1079428.098,4498524.999,0
